Year,Day,DOY,Hour,Irradiance,Temp,Rain,Wind,Rel_hum,SD
1999,177,177,12,5711.04,23.9,0,2.1,50.3,14.72063486
1999,177,177,13,6073.92,24.8,0,1.9,48,16.25436586
1999,177,177,14,5417.28,25.7,0,1.9,49.9,16.52117076
1999,177,177,15,4682.88,25.4,0,2.2,54.7,14.67484483
1999,177,177,16,4086.72,23.5,0,2.1,62.1,10.95870076
1999,177,177,17,3343.68,23.3,0,2.2,66.1,9.684615428
1999,177,177,18,3136.32,22.4,0,2,67.8,8.711068616
1999,177,177,19,2280.96,20.8,0,1.3,73.7,6.451918749
1999,177,177,20,1002.24,19.8,0,1.8,80.4,4.520320088
1999,177,177,21,786.24,19.2,0,2,85.2,3.288383341
1999,177,177,22,0,18.1,0.2,1.6,93.7,1.306705208
1999,177,177,23,0,17.3,4.1,1.9,97.3,0.532482184
1999,178,178,0,0,15.8,0.4,1.3,98.2,0.322690519
1999,178,178,1,0,15.4,0.6,1.1,99.2,0.139789084
1999,178,178,2,0,14.8,0,1,98.2,0.30261741
1999,178,178,3,0,14.8,0.1,1.3,99.2,0.134496627
1999,178,178,4,0,14.9,0,0.9,99.2,0.135366305
1999,178,178,5,0,15.4,0,1.1,98.2,0.314525439
1999,178,178,6,0,15.1,0.1,0.8,98.2,0.308521053
1999,178,178,7,0,15.5,0,1.6,96.2,0.668271251
1999,178,178,8,1408.32,15.8,0,2.4,95.3,0.842580799
1999,178,178,9,1719.36,16.1,0,2.1,93.4,1.206097441
1999,178,178,10,2980.8,16.9,0,2.7,89.9,1.942062184
1999,178,178,11,4769.28,18.5,0,2.6,81.6,3.913374539
1999,178,178,12,3222.72,18.3,0,2.3,80.6,4.074659525
1999,178,178,13,2937.6,18.8,0,2.6,76.7,5.04939755
1999,178,178,14,3240,20.5,0,2.7,71.9,6.767297997
1999,178,178,15,4389.12,18.8,0.9,3,79.1,4.529287931
1999,178,178,16,1918.08,19.5,0,2.1,81.9,4.097367834
1999,178,178,17,2047.68,17.8,0.9,2.6,87.4,2.564559638
1999,178,178,18,1667.52,17.1,1.1,2.4,91.7,1.616307372
1999,178,178,19,2324.16,16.9,0,2.8,88.9,2.134345568
1999,178,178,20,1814.4,15.2,3.7,3.2,92.3,1.328298126
1999,178,178,21,915.84,13.1,1,2.2,98.1,0.286053206
1999,178,178,22,708.48,13.2,0.1,1.3,100,0
1999,178,178,23,0,12.9,0,1.2,100,0
1999,179,179,0,0,12,0,0.8,100,0
1999,179,179,1,0,11.8,0,0.9,100,0
1999,179,179,2,0,10.8,0.1,0.8,100,0
1999,179,179,3,0,10.4,0,0.8,100,0
1999,179,179,4,0,10.6,0,0.8,100,0
1999,179,179,5,0,11,0.1,1.3,98,0.262187345
1999,179,179,6,0,10.6,0,1.8,99.2,0.102118974
1999,179,179,7,941.76,11.4,0,2.1,96.9,0.417322208
1999,179,179,8,1537.92,12.5,0,2.4,92.8,1.042207359
1999,179,179,9,3559.68,13.1,0,3.1,89.8,1.535654056
1999,179,179,10,4086.72,13.9,0,2.9,87,2.061920043
1999,179,179,11,2280.96,14.5,0,3.6,80.5,3.215474924
1999,179,179,12,4320,15.9,0,4.1,73.1,4.853366544
1999,179,179,13,3369.6,15.1,0,4.1,74.3,4.40499504
1999,179,179,14,4924.8,14.7,1,4.1,77.7,3.724987876
1999,179,179,15,3404.16,15,0,3.1,80.8,3.269781868
1999,179,179,16,2790.72,16.3,0,2.5,70.7,5.42306711
1999,179,179,17,3775.68,17.2,0,3,66.3,6.604266193
1999,179,179,18,3447.36,17.9,0,3.4,62,7.783225265
1999,179,179,19,2263.68,17.4,0,2.5,64.9,6.966151659
1999,179,179,20,1702.08,16.7,0,2.3,68.5,5.980528171
1999,179,179,21,959.04,16,0,1.6,74,4.72105521
1999,179,179,22,708.48,15.6,0,1.8,76.5,4.159304824
1999,179,179,23,0,15,0,2,80.8,3.269781868
1999,180,180,0,0,14.8,0,2.1,82.5,2.94211371
1999,180,180,1,0,14.9,0,2.3,81.7,3.096504233
1999,180,180,2,0,15.1,0,2.5,81.8,3.119490651
1999,180,180,3,0,14.7,0,2,85.4,2.4387813
1999,180,180,4,0,14.3,0.1,2.7,91.2,1.432434542
1999,180,180,5,0,14.1,0,2.2,93.1,1.108699525
1999,180,180,6,0,14.3,0,2.2,91.2,1.432434542
1999,180,180,7,0,14.1,1.4,2.5,94.1,0.948018435
1999,180,180,8,1252.8,13.9,0.7,2.5,97.1,0.459966779
1999,180,180,9,2004.48,14.2,2.6,2.7,97.1,0.469005093
1999,180,180,10,1581.12,14.3,0.3,2.7,98.2,0.292997974
1999,180,180,11,2090.88,14.7,0.5,2.6,97.2,0.467711482
1999,180,180,12,2401.92,15.3,0.4,2.5,96.2,0.659749021
1999,180,180,13,2384.64,16.2,1.2,2.3,95.3,0.86438428
1999,180,180,14,3369.6,16.8,2.5,2.2,96.3,0.706949157
1999,180,180,15,2764.8,17.2,1.2,2.5,96.3,0.725097475
1999,180,180,16,2151.36,17.2,0.2,2.5,96.3,0.725097475
1999,180,180,17,1935.36,17.5,0,1.6,95.4,0.918725938
1999,180,180,18,2358.72,19.6,0,1.7,84.2,3.598994176
1999,180,180,19,3024,19.4,0,1.7,83.6,3.689524912
1999,180,180,20,1848.96,19.6,0,1.3,85.3,3.34843129
1999,180,180,21,959.04,18.1,0,1,91.9,1.680049553
1999,180,180,22,0,17.2,0,1.1,94.5,1.077847598
1999,180,180,23,0,17.1,0,1.6,91.7,1.616307372
1999,181,181,0,0,17,0,1.2,93.5,1.257790321
1999,181,181,1,0,16.7,0,1.1,93.5,1.234077242
1999,181,181,2,0,16.4,0,1.5,95.3,0.875470246
1999,181,181,3,0,16.2,0,1.5,97.2,0.514952337
1999,181,181,4,0,16.1,0,1.5,98.2,0.328935666
1999,181,181,5,0,16,0,1.5,98.2,0.326842284
1999,181,181,6,0,16.1,0,2,98.2,0.328935666
1999,181,181,7,1019.52,16.2,0,2.8,96.3,0.680472731
1999,181,181,8,1218.24,15.7,2.4,2.9,99.2,0.142503122
1999,181,181,9,1365.12,15.4,0.5,3,99.2,0.139789084
1999,181,181,10,2194.56,16.6,0,3.2,94.4,1.056470491
1999,181,181,11,2453.76,17.3,0,3,89.9,1.991877798
1999,181,181,12,4432.32,17.6,0,3.2,87.3,2.552537038
1999,181,181,13,2557.44,16.5,0,3.8,92.5,1.405946485
1999,181,181,14,3576.96,18,0,3.2,83.9,3.318436286
1999,181,181,15,3516.48,18.9,0,2.9,75.9,5.255488971
1999,181,181,16,4138.56,19.6,0,3.4,71.4,6.514635027
1999,181,181,17,3818.88,19.1,0,3.6,68.7,6.911287534
1999,181,181,18,3430.08,18.4,0,3.4,65.8,7.228343196
1999,181,181,19,2471.04,17.6,0,3,65.9,6.853662441
1999,181,181,20,1745.28,17.3,0,2.1,68.1,6.291178393
1999,181,181,21,1019.52,15.4,0,2,77.3,3.966515263
1999,181,181,22,708.48,13.4,0,1,87.8,1.873088068
1999,181,181,23,0,12.7,0,1.3,88.6,1.671960919
1999,182,182,0,0,12.4,0,0.9,88.5,1.653736224
1999,182,182,1,0,10.7,0,0.8,98,0.257004819
1999,182,182,2,0,10,0,0.8,100,0
1999,182,182,3,0,9.4,0,0.8,100,0
1999,182,182,4,0,10.2,0,0.8,100,0
1999,182,182,5,0,10.9,0,0.8,100,0
1999,182,182,6,181.44,11.1,0,0.8,98,0.263935145
